username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018/04/25;2;4;". @sonatype @CloudBees and @gitlab named @IDC 2018 Agile Code Dev Innovators #Nexus #Jenkins #GitLab #DevOps #Agilehttps://www.businesswire.com/news/home/20180425005019/en/Providers-Agile-Code-Development-Technologies-Named-IDC …";;@sonatype @CloudBees @gitlab @IDC;#Nexus #Jenkins #GitLab #DevOps #Agilehttps;"989173592305872896";https://twitter.com/JMMiller_90/status/989173592305872896
;2018/04/24;0;0;"This is how successful Meetup looks like loads of pizza and loads of beers still left. Thanks @ynap for hosting us #jenkins London Meetup :) pic.twitter.com/XQo16LNo3X";;@ynap;#jenkins;"988883470020677632";https://twitter.com/Shashikant86/status/988883470020677632
;2018/04/24;0;1;"@jstrachan doing live demo of Jenkins X at London Jenkins User Meetup. #jenkinsci #Jenkins pic.twitter.com/WcnfoGuR52";;@jstrachan;#jenkinsci #Jenkins;"988859597602553856";https://twitter.com/Shashikant86/status/988859597602553856
;2018/04/24;1;3;"What caught our eye in the following article is the Universal Modeling Language #UML diagrams that describe @apachekafka architecture. @insideBigData #DevOps #Kafka #code #data #softwaredevelopment #ux #ui #Docker #javascript #jenkins #machineLearning https://bit.ly/2vFS7Jg pic.twitter.com/e5pibF6BDa";;@apachekafka @insideBigData;#UML #DevOps #Kafka #code #data #softwaredevelopment #ux #ui #Docker #javascript #jenkins #machineLearning;"988803828005957632";https://twitter.com/sila_insights/status/988803828005957632
;2018/04/24;2;1;"Which book would you recommend for learning #Jenkins 2, if I have already experience with CI/CD services like travsi/circleci?";;;#Jenkins;"988715531401392130";https://twitter.com/stmllr/status/988715531401392130
;2018/04/22;0;0;"Interesting bug (feature?) in @jenkinsci pipeline. If I commit something that breaks the build, then rewrite #git history for that branch to revert, the build passes, but the pipeline steps still think it's a failed build, presumably because it's an earlier changeset #Jenkins pic.twitter.com/qxa6AAhbqR";;@jenkinsci;#git #Jenkins;"988254928614383616";https://twitter.com/cjbush/status/988254928614383616
;2018/04/22;3;5;"How to achieve HA #Jenkins in the most cost-effective way? Opensource tools such as #Corosync and DRBD might be your answer - https://buff.ly/2qKgHCU  #DevOpspic.twitter.com/B1N0wBlswE";;;#Jenkins #Corosync #DevOpspic;"988085035143188482";https://twitter.com/opcito/status/988085035143188482
;2018/04/21;4;6;"Get hands-on experience with a free #Jenkins certified @bitnami #demo lab on Oracle Cloud #IaaS. http://ora.cl/0BW8C pic.twitter.com/ngjStdQfju";;@bitnami;#Jenkins #demo #IaaS;"987890004872572929";https://twitter.com/OracleIaaS/status/987890004872572929
;2018/04/20;1;1;"Spending my weekend @citcon, talking about testing, programming, agile communication, and organizing a support group for #jenkins survivors :P #CITCON2018 #Testingpic.twitter.com/lHnAA0SUBn";;@citcon;#jenkins #CITCON2018 #Testingpic;"987444877301608450";https://twitter.com/a_prpic/status/987444877301608450
;2018/04/20;0;2;"It is all #GitOps; friendly and close to developers than #DevOps. #future #jenkins #Kubernetes";;;#GitOps #DevOps #future #jenkins #Kubernetes;"987357349751992320";https://twitter.com/anirudhgali/status/987357349751992320
